,start,end
0,2023-04-25 07:00:00,2023-04-25 07:15:00
1,2023-04-25 07:00:00,2023-04-25 07:30:00
2,2023-04-25 07:00:00,2023-04-25 07:30:00
3,2023-04-25 07:00:00,2023-04-25 07:30:00
4,2023-04-25 07:00:00,2023-04-25 07:45:00
5,2023-04-25 07:00:00,2023-04-25 08:00:00
6,2023-04-25 07:00:00,2023-04-25 08:45:00
7,2023-04-25 07:00:00,2023-04-25 09:45:00
8,2023-04-25 07:15:00,2023-04-25 07:30:00
9,2023-04-25 07:15:00,2023-04-25 07:30:00
10,2023-04-25 07:15:00,2023-04-25 08:00:00
11,2023-04-25 07:15:00,2023-04-25 09:30:00
12,2023-04-25 07:30:00,2023-04-25 07:45:00
13,2023-04-25 07:30:00,2023-04-25 07:45:00
14,2023-04-25 07:30:00,2023-04-25 08:15:00
15,2023-04-25 07:45:00,2023-04-25 08:30:00
16,2023-04-25 07:45:00,2023-04-25 08:45:00
17,2023-04-25 07:45:00,2023-04-25 09:00:00
18,2023-04-25 07:45:00,2023-04-25 09:30:00
19,2023-04-25 08:00:00,2023-04-25 08:15:00
20,2023-04-25 08:00:00,2023-04-25 08:45:00
21,2023-04-25 08:00:00,2023-04-25 09:00:00
22,2023-04-25 08:00:00,2023-04-25 09:45:00
23,2023-04-25 08:30:00,2023-04-25 10:30:00
24,2023-04-25 08:45:00,2023-04-25 11:30:00
25,2023-04-25 09:00:00,2023-04-25 10:45:00
26,2023-04-25 09:15:00,2023-04-25 10:30:00
27,2023-04-25 09:15:00,2023-04-25 10:30:00
28,2023-04-25 09:30:00,2023-04-25 10:30:00
29,2023-04-25 09:30:00,2023-04-25 10:45:00
30,2023-04-25 09:45:00,2023-04-25 10:30:00
31,2023-04-25 09:45:00,2023-04-25 12:00:00
32,2023-04-25 10:00:00,2023-04-25 11:00:00
33,2023-04-25 10:00:00,2023-04-25 12:45:00
34,2023-04-25 10:15:00,2023-04-25 10:45:00
35,2023-04-25 10:15:00,2023-04-25 12:15:00
36,2023-04-25 10:45:00,2023-04-25 12:00:00
37,2023-04-25 10:45:00,2023-04-25 12:30:00
38,2023-04-25 11:00:00,2023-04-25 11:15:00
39,2023-04-25 11:00:00,2023-04-25 12:15:00
40,2023-04-25 11:15:00,2023-04-25 11:30:00
41,2023-04-25 11:30:00,2023-04-25 13:45:00
42,2023-04-25 11:30:00,2023-04-25 14:15:00
43,2023-04-25 11:45:00,2023-04-25 12:15:00
44,2023-04-25 11:45:00,2023-04-25 13:15:00
45,2023-04-25 11:45:00,2023-04-25 14:15:00
46,2023-04-25 11:45:00,2023-04-25 14:15:00
47,2023-04-25 12:00:00,2023-04-25 12:15:00
48,2023-04-25 12:15:00,2023-04-25 12:30:00
49,2023-04-25 12:15:00,2023-04-25 12:45:00
50,2023-04-25 12:15:00,2023-04-25 12:45:00
51,2023-04-25 12:15:00,2023-04-25 13:00:00
52,2023-04-25 12:15:00,2023-04-25 14:45:00
53,2023-04-25 12:30:00,2023-04-25 12:45:00
54,2023-04-25 12:45:00,2023-04-25 14:30:00
55,2023-04-25 13:00:00,2023-04-25 14:00:00
56,2023-04-25 13:00:00,2023-04-25 14:45:00
57,2023-04-25 13:15:00,2023-04-25 13:45:00
58,2023-04-25 13:15:00,2023-04-25 13:45:00
59,2023-04-25 13:45:00,2023-04-25 14:45:00
60,2023-04-25 13:45:00,2023-04-25 15:45:00
61,2023-04-25 14:00:00,2023-04-25 16:45:00
62,2023-04-25 14:15:00,2023-04-25 15:15:00
63,2023-04-25 14:15:00,2023-04-25 16:00:00
64,2023-04-25 14:15:00,2023-04-25 16:45:00
65,2023-04-25 14:30:00,2023-04-25 15:15:00
66,2023-04-25 14:30:00,2023-04-25 17:15:00
67,2023-04-25 15:00:00,2023-04-25 16:15:00
68,2023-04-25 15:30:00,2023-04-25 16:00:00
69,2023-04-25 15:30:00,2023-04-25 18:15:00
70,2023-04-25 15:45:00,2023-04-25 16:00:00
71,2023-04-25 15:45:00,2023-04-25 17:00:00
72,2023-04-25 15:45:00,2023-04-25 17:00:00
73,2023-04-25 16:00:00,2023-04-25 18:30:00
74,2023-04-25 16:15:00,2023-04-25 16:30:00
75,2023-04-25 16:15:00,2023-04-25 16:45:00
76,2023-04-25 16:15:00,2023-04-25 18:45:00
77,2023-04-25 16:30:00,2023-04-25 17:45:00
78,2023-04-25 16:45:00,2023-04-25 17:00:00
79,2023-04-25 16:45:00,2023-04-25 17:15:00
80,2023-04-25 16:45:00,2023-04-25 17:45:00
81,2023-04-25 17:00:00,2023-04-25 18:00:00
82,2023-04-25 17:15:00,2023-04-25 19:00:00
83,2023-04-25 17:15:00,2023-04-25 19:00:00
84,2023-04-25 17:15:00,2023-04-25 19:15:00
85,2023-04-25 17:15:00,2023-04-25 19:30:00
86,2023-04-25 17:30:00,2023-04-25 18:45:00
87,2023-04-25 17:30:00,2023-04-25 19:30:00
88,2023-04-25 17:45:00,2023-04-25 18:15:00
89,2023-04-25 17:45:00,2023-04-25 18:45:00
90,2023-04-25 18:00:00,2023-04-25 20:15:00
91,2023-04-25 18:15:00,2023-04-25 18:30:00
92,2023-04-25 18:15:00,2023-04-25 18:45:00
93,2023-04-25 18:15:00,2023-04-25 19:00:00
94,2023-04-25 18:15:00,2023-04-25 19:30:00
95,2023-04-25 18:15:00,2023-04-25 19:45:00
96,2023-04-25 18:30:00,2023-04-25 19:45:00
97,2023-04-25 18:45:00,2023-04-25 20:15:00
98,2023-04-25 19:00:00,2023-04-25 19:30:00
99,2023-04-25 19:00:00,2023-04-25 20:30:00
100,2023-04-25 19:15:00,2023-04-25 21:00:00
101,2023-04-25 19:30:00,2023-04-25 20:45:00
102,2023-04-25 19:30:00,2023-04-25 21:00:00
103,2023-04-25 19:30:00,2023-04-25 21:00:00
104,2023-04-25 19:45:00,2023-04-25 20:30:00
105,2023-04-25 19:45:00,2023-04-25 20:30:00
106,2023-04-25 19:45:00,2023-04-25 20:45:00
107,2023-04-25 19:45:00,2023-04-25 20:45:00
108,2023-04-25 20:15:00,2023-04-25 20:30:00
109,2023-04-25 20:15:00,2023-04-25 20:45:00
110,2023-04-25 20:15:00,2023-04-25 20:45:00
111,2023-04-25 20:30:00,2023-04-25 21:00:00
112,2023-04-25 20:30:00,2023-04-25 21:00:00
113,2023-04-25 20:45:00,2023-04-25 21:00:00
